source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-08-21 12:00:00,What is risk in finance and how can we reduce risk in our investments? 🤔,8,8,,,,,,1,1170599663128066,/story.php?story_fbid=1170599663128066&id=460639650790741
Seedly,,2019-08-21 08:36:30,"For those looking for personal accident insurance, here are a few that we think are great!",20,17,,1,2,,,1,1170527776468588,/story.php?story_fbid=1170527776468588&id=460639650790741
Seedly,,2019-08-20 18:05:21,Health is wealth!😷 Get screened today for less than a 10 dollar note!,26,25,,1,,,,1,1170093566512009,/story.php?story_fbid=1170093566512009&id=460639650790741
Seedly,,2019-08-19 00:38:38,"🇸🇬 National Day Rally 2019: How Singapore plans to tackle climate change!  PM Lee talks about the 3 steps we can take, as well as some localized measures and nation-wide initiatives!",,,,,,,,1,1168961193291913,/story.php?story_fbid=1168961193291913&id=460639650790741
Seedly,,2019-08-20 16:29:10,Is it time to pick up a new skill and make it work for you?,28,28,,,,,,1,1170050533182979,/story.php?story_fbid=1170050533182979&id=460639650790741
Seedly,,2019-08-20 08:20:29,Would you consider these three companies? 🤨,12,12,,,,,,,1169826623205370,/story.php?story_fbid=1169826623205370&id=460639650790741
Seedly,,2019-08-19 18:07:06,Here's a guide on Baby Bonus for all the new parents and parents to be!,20,20,,,,,,1,1169423679912331,/story.php?story_fbid=1169423679912331&id=460639650790741
Seedly,,2019-08-19 13:01:25,The board lot sizes of four Nikko AM managed ETFs (including Nikko AM STI ETF [SGX: G3B]) have been reduced from 100 to 10. 🤩,11,11,,,,,,1,1169298553258177,/story.php?story_fbid=1169298553258177&id=460639650790741
Seedly,,2019-08-18 23:43:02,🇸🇬 National Day Rally 2019: Here's how the government plans to make pre-school and tertiary education affordable and accessible for all!,11,10,1,,,,,1,1168933453294687,/story.php?story_fbid=1168933453294687&id=460639650790741
Seedly,,2019-08-18 22:04:59,"🇸🇬National Day Rally 2019: Here are the changes you need to know with regards to Singaporeans’ retirement age, re-employment age and CPF contribution rates for older workers. These changes will be fully implemented by the year 2030!",27,25,,1,1,,,1,1168880219966677,/story.php?story_fbid=1168880219966677&id=460639650790741
Seedly,,2019-08-18 20:21:55,Singapore economic growth has slowed down significantly in the year 2019. What can Singaporeans do?,1,1,,,,,,1,1168823256639040,/story.php?story_fbid=1168823256639040&id=460639650790741
Seedly,,2019-08-18 18:50:00,"What’s in it for Singaporeans this 2019? We stay tuned to National Day Rally 2019, and provide live update on some of the policies, priorities and initiatives from the government.",7,6,,1,,,,1,1168776859977013,/story.php?story_fbid=1168776859977013&id=460639650790741
