,post_id,username,username_count,level,rank
3157,1221,Jeff Yeo,1,6,Master 
3158,1221,Zongzong,1,3,Wonderkid 
3159,1222,Charmaine Ng,1,6,Master 
3160,1222,Aik Kai,1,6,Master 
3161,1222,JianHao Soo,1,4,Prodigy 
3162,1222,Jeff Yeo,1,6,Master 
3163,1222,Shun Oh,1,3,Wonderkid 
3164,1222,Alan Seow,1,3,Wonderkid 
3165,1222,John Ong Zhenxi,1,4,Prodigy 
3166,1223,Lok Yang Teng,1,6,Master 
3167,1223,Jonathan Chia Guangrong,1,6,Master 
3168,1223,Jay Liu,1,6,Master 
3169,1223,Ck Chai,1,4,Prodigy 
3170,1223,HC Tang,1,8,Wizard 
3171,1223,Good Day Every Day,1,6,Master 
3172,1223,Gabriel Lee,1,6,Master 
3173,1223,Kenichi Xi,1,6,Master 
3174,1223,Jeff Yeo,1,6,Master 
3175,1224,Jay Liu,1,6,Master 
3176,1224,Gabriel Lee,1,6,Master 
3177,1224,Nicholes Wong,1,6,Master 
3178,1225,Kenichi Xi,1,6,Master 
3179,1226,Kenneth Lou,1,8,Wizard 
3180,1227,Luke Ho,1,6,Master 
3181,1227,Jay Liu,1,6,Master 
3182,1227,Gabriel Lee,1,6,Master 
3183,1228,Jeff Yeo,1,6,Master 
3184,1228,Jonathan Chia Guangrong,1,6,Master 
3185,1229,Lok Yang Teng,1,6,Master 
3186,1230,Elijah Lee,1,9,God of Wisdom
3187,1230,SLSamuel Lee,1,3,Wonderkid
3188,1230,Gabriel Tham,1,8,Wizard
3189,1231,HC Tang,1,8,Wizard 
3190,1232,Bang Hong,1,4,Prodigy 
3191,1233,HC Tang,1,8,Wizard 
3192,1234,Yong Kah Hwee,1,6,Master 
3193,1234,Gabriel Tham,1,8,Wizard 
3194,1234,Kelvin Soh,1,2,Rookie 
